"text","text_en","cmp_code","eu_code"
"Change",NA,NA,NA
"Labour Party Manifesto 2023",NA,NA,NA
"MY PLAN FOR CHANGE",NA,"H",NA
"This election is about change.",NA,NA,NA
"A chance to stop the endless Conservative chaos that has directly harmed the finances of every family in Britain.",NA,NA,NA
"A moment where we can turn the page on a set of ideas that, over 14 years, have consistently left us more vulnerable in an increasingly volatile world.",NA,NA,NA
"And an opportunity to begin the work of national renewal.",NA,NA,NA
"A rebuilding of our country, so that it once again serves the interests of working people.",NA,NA,NA
"Restore hope",NA,NA,NA
"Every great nation is held together by shared beliefs.",NA,NA,NA
"To outsiders they may not seem exceptional or distinctive, but they are essential for a sense of collective national purpose.",NA,NA,NA
"Britain is no different, but at this moment two of our most important beliefs are in grave danger.",NA,NA,NA
"First, that politics should be driven by a sense of service to the country, not considerations of party or self-interest.",NA,NA,NA
"Second, that if you work hard then – whoever you are, wherever you started in life –",NA,NA,NA
"Britain is a country that will respect your contribution and give you a fair chance to get on.",NA,NA,NA
"When I consider these beliefs, it is hard not to think back to my childhood.",NA,NA,NA
"Then, as now, Britain’s place in the world was uncertain.",NA,NA,NA
"Then, as now, our economy was gripped by stuttering growth and a cost-of-living crisis that hurt working people.",NA,NA,NA
"Yet back then, there was at least a degree of security in being able to take those two fundamental beliefs for granted.",NA,NA,NA
"For families like mine, this was a comfort.",NA,NA,NA
"The knowledge that Britain would offer your children a better future gave us hope.",NA,NA,NA
"A hope that may not sound high-minded or particularly idealistic, but which families like mine could build a life around.",NA,NA,NA
"Stop the chaos",NA,NA,NA
"To restore this hope, we must first end the Conservative chaos.",NA,NA,NA
"The visible decline in our communities – families weighed down by soaring mortgages; people waiting on trolleys in A&E; sewage in our rivers – is not an accident.",NA,NA,NA
"Rather, it is a direct result of a governing party that, time and again, puts its own interests and obsessions above the issues that affect families.",NA,NA,NA
"The result is a vicious cycle – decline feeding off chaos, chaos feeding off decline – that will continue if they return for five more years.",NA,NA,NA
"Only a Labour government can break this cycle and stop the chaos.",NA,NA,NA
"Turn the page",NA,NA,NA
"We must turn the page decisively on the Conservative ideas that have caused the chaos.",NA,NA,NA
"The world has become increasingly volatile, with a major war in Europe for the first time in a generation and ever greater threats to the living standards of working people.",NA,NA,NA
"This ‘age of insecurity’ requires the government to step up, not stand aside.",NA,NA,NA
"This means a return to the foundations of good government: national security, secure borders, and economic stability.",NA,NA,NA
"But it also requires an enduring partnership with business to deliver the economic growth we need.",NA,NA,NA
"It needs more focus on longterm strategy, not the short-term distractions that can animate Westminster.",NA,NA,NA
"And it demands a final and total rejection of the toxic idea that economic growth is gifted from the few to the many.",NA,NA,NA
"Because whether it is crashing the pound to give tax cuts to the richest 1%; degrading public services because of a mess made by the banks; or the failure to invest in clean British energy that left us exposed when Putin invaded Ukraine – so much of what Britain has been through in the past 14 years is explained by a Conservative failure to face the future.",NA,NA,NA
"Only Labour can turn the page.",NA,NA,NA
"Rebuild our country",NA,NA,NA
"We must rebuild our country.",NA,NA,NA
"It will not be easy.",NA,NA,NA
"Not only because there is no quick fix to the mess the Conservatives have made.",NA,NA,NA
"But also, because their failures have sapped our collective confidence that Britain can still achieve great things.",NA,NA,NA
"I reject this with every fibre of my being.",NA,NA,NA
"Despite all the chaos inflicted on Britain, the country I see is one where working people never let each other down.",NA,NA,NA
"They came together in the pandemic – missed weddings, funerals and last goodbyes – to save the lives of people they will never meet.",NA,NA,NA
"They dug deep in the years of austerity, to keep delivering the public services people needed.",NA,NA,NA
"And throughout the cost-of-living crisis, they found a way to support those less fortunate than themselves.",NA,NA,NA
"We are still a great nation.",NA,NA,NA
"We can still achieve great things.",NA,NA,NA
"What we lack is a government that can match the ambition working people have for their family and community, with a credible long-term plan.",NA,NA,NA
"This manifesto is that plan.",NA,NA,NA
"Fully costed, fully funded – built on a rock of fiscal responsibility.",NA,NA,NA
"At its heart are five national missions – with clear first steps to begin the journey of rebuilding – that provide a clear destination for everyone invested in Britain’s future.",NA,NA,NA
"A new Britain, where wealth is created in every community.",NA,NA,NA
"Where the golden opportunity of clean British power is harnessed for lower bills.",NA,NA,NA
"Where your town centre has been revitalised and everyone feels safe to walk the streets.",NA,NA,NA
"Where you can go to work and know you will Five national missions – with clear first steps to begin the journey of rebuilding be treated with dignity and respect.",NA,NA,NA
"Where our children are equipped with the skills to thrive in the future.",NA,NA,NA
"Where our NHS is once again at the cutting edge of healthcare.",NA,NA,NA
"And where we show that politics can be about serving the country.",NA,NA,NA
"It’s time for change I know some people will roll their eyes at this last sentence.",NA,NA,NA
"Yet serving our country is the only reason I came into politics.",NA,NA,NA
"The defining purpose of my Labour leadership has been to drag my party away from the dead end of gesture politics and return it once more to the service of working people.",NA,NA,NA
"I have changed my party.",NA,NA,NA
"Now I want the chance to bring that change to the country.",NA,NA,NA
"But to succeed we need everyone, every community, to play their part.",NA,NA,NA
"I know, after everything you have been through in the past 14 years, that this is a hard request to make.",NA,NA,NA
"But I also expect, deep down, that you know this is what our country needs now – an end to the chaos, a turning of the page, and a patient but determined rebuilding of our country.",NA,NA,NA
"So, I invite you to join us in this common endeavour of national renewal.",NA,NA,NA
"It is time to change Britain.",NA,NA,NA
"Keir Starmer Leader of the Labour Party",NA,NA,NA
"Labour’s first steps for change",NA,"H",NA
"Deliver economic stability with tough spending rules, so we can grow our economy and keep taxes, inflation and mortgages as low as possible.",NA,"410",NA
"Cut NHS waiting time with 40,000 more appointments each week, during evenings and weekends, paid for by cracking down on tax avoidance and non-dom loopholes.",NA,"504",NA
"Launch a new Border Security Command with hundreds of new specialist investigators and use counter-terror powers to smash the criminal boat gangs.",NA,"605.2",NA
"Set up Great British Energy a publicly-owned clean power company, to cut bills for good and boost energy security, paid for by a windfall tax on oil and gas giants.",NA,"413",NA
"Crack down on antisocial behavior with more neighbourhood police paid for by ending wasteful contracts, tough new penalties for offenders, and a new network of youth hubs.",NA,"605.1",NA
"Recruit 6,500 new teachers in key subjects to prepare children for life, work and the future, paid for by ending tax breaks for private schools.",NA,"506",NA
"CONTENTS",NA,"H",NA
"Mission-driven government........................................................................12",NA,NA,NA
"Strong foundations........................................................................................14",NA,NA,NA
"Kickstart economic growth......................................................................... 23",NA,NA,NA
"Make Britain a clean energy superpower.................................................. 47",NA,NA,NA
"Take back our streets....................................................................................61",NA,NA,NA
"Break down the barriers to opportunity.................................................... 75",NA,NA,NA
"Build an NHS fit for the future........................................................................91",NA,NA,NA
"Serving the country.....................................................................................105",NA,NA,NA
"Britain reconnected..................................................................................... 115",NA,NA,NA
"Labour’s fiscal plan......................................................................................126",NA,NA,NA
"Change...........................................................................................................131",NA,NA,NA
"MISSION-DRIVEN GOVERNMENT",NA,"H",NA
"Ending the Conservative chaos is vital, but turning the page with a new government is not in itself enough to tackle the deep-rooted challenges our country now faces.",NA,"305.1",NA
"To rebuild Britain, we need to change how Britain is governed.",NA,"305.3",NA
"For too long, Britain has been held back by governments that, because they lack a relentless focus on long-term ends, are buffeted about by events.",NA,"305.3",NA
"Politics has enormous potential to change lives for the better, but too often different parts of the government have pursued their own narrow goals rather than working together.",NA,"305.1",NA
"Government is at its best when working in partnership with business, trade unions, civil society, faith groups, and communities.",NA,"202.1",NA
"But without a shared project those partnerships barely get off the ground.",NA,"305.3",NA
"So, as well as a new administration with new priorities, Britain needs a new approach: mission-driven government.",NA,"305.1",NA
"Mission-driven government means raising our sights as a nation and focusing on ambitious, measurable, long-term objectives that provide a driving sense of purpose for the country.",NA,"305.1",NA
"It means a new way of doing government that is more joined up, pushes power out to communities and harnesses new technology, all with one aim in mind to put the country back in the service of working people.",NA,"202.1",NA
"LABOUR’S FIVE MISSIONS TO REBUILD BRITAIN ARE:",NA,"H",NA
"1) Kickstart economic growth to secure the highest sustained growth in the G7 –",NA,"410",NA
"with good jobs and productivity growth in every part of the country making everyone, not just a few, better off.",NA,"701",NA
"2) Make Britain a clean energy superpower to cut bills, create jobs and deliver security with cheaper, zero-carbon electricity by 2030, accelerating to net zero.",NA,"416.2",NA
"3) Take back our streets by halving serious violent crime",NA,"605.1",NA
"and raising confidence in the police and criminal justice system to its highest levels.",NA,"605.1",NA
"4) Break down barriers to opportunity by reforming our childcare and education systems, to make sure there is no class ceiling on the ambitions of young people in Britain.",NA,"506",NA
"5) Build an NHS fit for the future that is there when people need it; with fewer lives lost to the biggest killers;",NA,"504",NA
"in a fairer Britain, where everyone lives well for longer.",NA,"503",NA
"Delivering the change Britain needs will require perseverance.",NA,"305.1",NA
"The starting point for delivering these missions is to ensure the foundations of good government are right.",NA,"305.1",NA
"Labour will make sure we have strong national security,",NA,"605.1",NA
"secure borders,",NA,"605.1",NA
"and economic stability.",NA,"414",NA
"Building on these secure foundations, we have already set out the first steps for change.",NA,"305.1",NA
"Today we present further policies in this manifesto, as part of the journey of rebuilding our country.",NA,"305.1",NA
"Every policy that follows in this manifesto is fully costed and fully funded.",NA,"305.1",NA
"STRONG FOUNDATIONS",NA,"H",NA
"NATIONAL SECURITY",NA,"H",NA
"No policy commitment in pursuit of Labour’s missions matters unless we uphold the first duty of any government: to keep the country safe.",NA,"104",NA
