"text","text_en","cmp_code","eu_code"
"Our Contract with You",NA,NA,NA
"Britain Needs Reform and Reform UK Needs You",NA,"H",NA
"Britain has so much potential.",NA,NA,NA
"Our country is full of talent and energy.",NA,NA,NA
"Brexit is the opportunity of a lifetime.",NA,NA,NA
"The challenges we face are vast.",NA,NA,NA
"Both Labour and Tory governments have broken promise after promise.",NA,NA,NA
"They have destroyed trust in our democracy and betrayed the British people.",NA,NA,NA
"Our country is worse off, both financially and culturally.",NA,NA,NA
"The economy is being wrecked by record high taxes,",NA,NA,NA
"record high national debt,",NA,NA,NA
"wasteful government spending",NA,NA,NA
"and nanny state regulations.",NA,NA,NA
"Record mass immigration has damaged our country.",NA,NA,NA
"The small boats crisis threatens our security.",NA,NA,NA
"Multiculturalism has imported separate communities that reject our way of life.",NA,NA,NA
"Divisive, ‘woke’ ideology has captured our public institutions.",NA,NA,NA
"Transgender indoctrination is causing irreversible harm to children.",NA,NA,NA
"The unprecedented population explosion has pushed Britain to breaking point.",NA,NA,NA
"There’s a housing crisis.",NA,NA,NA
"A benefits crisis.",NA,NA,NA
"Record crime.",NA,NA,NA
"Record NHS waiting lists.",NA,NA,NA
"Wages are stagnating.",NA,NA,NA
"Net Zero has sent energy costs soaring.",NA,NA,NA
"It is making us poorer and colder, damaging British industry and forcing drivers off the road.",NA,NA,NA
"The Tories have broken Britain.",NA,NA,NA
"Labour will bankrupt Britain.",NA,NA,NA
"A vote for either is a vote for more incompetence, dishonesty and defeat.",NA,NA,NA
"The two-party system has failed.",NA,NA,NA
"We are ruled by an out-of-touch political class who have turned their backs on our country.",NA,NA,NA
"But there is an alternative.",NA,NA,NA
"The British people now have a common sense choice in Reform UK.",NA,NA,NA
"Our Contract with You is a serious plan to reshape the way our country is run.",NA,NA,NA
"The government must work for the British people.",NA,NA,NA
"Not against them.",NA,NA,NA
"Only Reform UK will stand up for British culture, identity and values.",NA,NA,NA
"We will freeze immigration and stop the boats.",NA,NA,NA
"Restore law and order.",NA,NA,NA
"Repair our broken public services.",NA,NA,NA
"Cut taxes to make work pay.",NA,NA,NA
"End government waste and deliver our fully funded plan for zero NHS waiting lists.",NA,NA,NA
"We will unlock Britain’s vast energy treasure of oil and gas to slash energy bills, beat the cost-of-living crisis and unleash real economic growth.",NA,NA,NA
"Once and for all, we will take back control over our borders, our money and our laws.",NA,NA,NA
"Only Reform UK will secure Britain’s future as a free, proud and independent sovereign nation.",NA,NA,NA
"Nigel Farage Leader, Reform UK",NA,NA,NA
"Our Contract with You is not just another party manifesto.",NA,"305.1",NA
"It sets out the reforms that Britain needs in the first 100 days following a general election and thereafter.",NA,"305.1",NA
"It has been produced with advice from a range of independent economists, think tanks and advisors on costs and savings.",NA,"305.1",NA
"Costings can be found at the end of each policy page.",NA,"305.1",NA
"Some policy areas come with net costs and others with net savings.",NA,"305.1",NA
"We have also included extra growth assumptions from our economic reforms.",NA,"410",NA
"Final annualised budget calculations across a 5 year term of government can be found at the end of this Contract.",NA,"305.1",NA
"We are impatient for change.",NA,"305.1",NA
"We are doers and achievers.",NA,"305.1",NA
"Our Contract with You will be delivered by people with a real track record of success.",NA,"305.2",NA
"Contents Our Core Pledges to You.............................................................................................................................2 Immigration.......................................................................................................................................................3 Slash Government Waste...........................................................................................................................4 Economy – Personal ......................................................................................................................................5 Economy – Business......................................................................................................................................6 NHS .........................................................................................................................................................................7 Net Zero................................................................................................................................................................8 Policing.................................................................................................................................................................9 Justice..................................................................................................................................................................10 Education ...........................................................................................................................................................11 Benefits ................................................................................................................................................................2 Brexit .................................................................................................................................................................... 13 Defence...............................................................................................................................................................14 Housing............................................................................................................................................................... 15 Children and Families.................................................................................................................................16 Transport and Infrastructure .................................................................................................................17 Agriculture........................................................................................................................................................18 Fisheries..............................................................................................................................................................19 Pensions and Social Care.........................................................................................................................20 Constitutional Reform................................................................................................................................ 21 Reclaiming Britain....................................................................................................................................... 22 Funding our Plans ................................................................................................................................ 23-24",NA,NA,NA
"OUR CORE PLEDGES TO YOU",NA,"H",NA
"Fourteen years of Tory failure are coming to an end.",NA,"305.1",NA
"A Labour government would ramp up mass immigration, crime, and taxes even further.",NA,"305.1",NA
"Labour and the Tories are two sides of the same coin.",NA,"305.1",NA
"Only Reform UK is ready to stand up for common sense politics.",NA,"305.1",NA
"We set out our plan in this document, Our Contract with You.",NA,"305.1",NA
"Wherever you look, Britain needs Reform.",NA,"305.1",NA
"Our Contract with You covers the most important areas of policy for you and your family, but we have summarised these into five core pledges:",NA,"305.1",NA
"1. Imagine Smart Immigration, Not Mass Immigration",NA,"601.2",NA
"All non-essential immigration frozen to boost wages,",NA,"701",NA
"protect public services,",NA,"504",NA
"end the housing crisis",NA,"403",NA
"and cut crime.",NA,"605.1",NA
"2. Imagine No More Small Boats in the Channel",NA,"601.2",NA
"Illegal migrants who come to the UK will be detained and deported.",NA,"601.2",NA
"And if needed, migrants in small boats will be picked up and taken back to France.",NA,"601.2",NA
"3. Imagine No NHS Waiting Lists",NA,"504",NA
"Still free at the point of delivery, healthcare needs reform to improve outcomes and enjoy zero NHS waiting lists.",NA,"504",NA
"Cut back office waste to spend more money on the frontline.",NA,"504",NA
"Tax breaks for doctors and nurses to tackle the staffing crisis.",NA,"504",NA
"4. Imagine Good Wages for a Hard Day’s Work",NA,"701",NA
"Lift the income tax starting threshold to £20k to save the lowest paid £1,500 per year.",NA,"503",NA
"This takes 7 million of the least well-off out of Income Tax to make work pay and get people off benefits.",NA,"409",NA
"5. Imagine Affordable, Stable Energy Bills",NA,"409",NA
"Scrap energy levies and Net Zero to slash energy bills and save each household £500 per year.",NA,"409",NA
"Unlock Britain’s vast oil and gas reserves to beat the cost of living crisis and unleash real economic growth.",NA,"410",NA
"This is what Reform UK MPs will fight hard for if elected.",NA,NA,NA
"So if you want change, vote for it on July 4th.",NA,NA,NA
"Vote Reform UK to get reform.",NA,NA,NA
"IMMIGRATION",NA,"H",NA
"Uncontrolled Immigration has Pushed Britain to Breaking Point",NA,"H",NA
